State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Bapatla,750,Amarthalur,5086,Yelavarru,యలవర్రు,authoritative,590394,522341,,
Andhra Pradesh,Kakinada,746,Yeleswaram,4893,Yeleswaram,ఏలేశ్వరం,authoritative,587062,533429,,
Andhra Pradesh,Markapuram,790,Markapuram,5115,Yella Puram,యెల్ల పురం,transliterated,590863,523329,,
Andhra Pradesh,Nandyal,755,Pagidyala,5261,Yellala,యెల్లల,transliterated,593939,518412,,
Andhra Pradesh,Y.S.R. Kadapa,504,Nandalur,5243,Yellamarajupalle,యల్లమరాజుపల్లె,transliterated,593581,516151,,
Andhra Pradesh,Kakinada,746,Gandepalli,4904,Yellamilli,యెల్లమిల్లి,transliterated,587371,533437,,
Andhra Pradesh,Chittoor,503,Pulicherla,5395,Yellankivaripallle,యెల్లంకివారిపల్ల్లె,authoritative,596185,517172,,
Andhra Pradesh,Ananthapuramu,502,Yellanur,5327,Yellanur,యెల్లనూరు,authoritative,595040,515465,,
Andhra Pradesh,Y.S.R. Kadapa,504,Porumamilla,5208,Yellapalle,యెల్లపల్లె,transliterated,593028,516193,,
Andhra Pradesh,Polavaram,791,Addateegala,4887,Yellapuram,యెల్లపురం,authoritative,586814,533428,,
Andhra Pradesh,Polavaram,791,Gangavaram,4894,Yellapuram,యెల్లపురం,authoritative,587078,533428,,
Andhra Pradesh,Y.S.R. Kadapa,504,Kamalapuram,5224,Yellareddipalle,యెల్లారెడ్డిపల్లె,authoritative,593311,516289,,
Andhra Pradesh,Kurnool,511,Holagunda,5272,Yellarthy,యెల్లర్తి,authoritative,594115,518395,,
Andhra Pradesh,Tirupati,752,Chittamur,5193,Yellasiri,యెల్లసిరి,authoritative,592601,524127,,
Andhra Pradesh,Tirupati,752,Dakkili,5186,Yellavajjulapalle,యెల్లావజ్జులపల్లె,authoritative,592284,524134,,
Andhra Pradesh,Polavaram,791,Addateegala,4887,Yellavaram,యెల్లవరం,authoritative,586867,533428,,
Andhra Pradesh,Anakapalli,744,Nathavaram,4852,Yellavaram Dondapeta,యెల్లవరమ్ దొందపేట,transliterated,585719,531115,,
Andhra Pradesh,Nandyal,755,Rudravaram,5297,Yellavathula,ఎల్లావత్తుల,authoritative,594515,518583,,
Andhra Pradesh,Annamayya,753,Gurramkonda,5370,Yellutla,యెల్లుట్ల,authoritative,595643,517305,,
Andhra Pradesh,Kakinada,746,Prathipadu,4900,Yeluru,యెలూరు,authoritative,587308,533432,,
